"Series Description","M1; Not seasonally adjusted","M2; Not seasonally adjusted"
"Unit:","Currency","Currency"
"Multiplier:","1e+09","1e+09"
"Currency:","USD","USD"
"Unique Identifier: ","H6/H6_M2/M1_N.M","H6/H6_M2/M2_N.M"
"Time Period","M1_N.M","M2_N.M"
2002-01,1191.8,5451.0
2002-02,1178.3,5470.4
2002-03,1196.8,5519.2
2002-04,1196.9,5533.4
2002-05,1186.0,5499.8
2002-06,1194.7,5537.8
2002-07,1200.4,5578.7
2002-08,1182.3,5621.7
2002-09,1185.8,5646.5
2002-10,1196.6,5685.3
2002-11,1205.3,5757.5
2002-12,1245.5,5804.0
2003-01,1225.5,5793.5
2003-02,1225.5,5820.8
2003-03,1245.1,5882.1
2003-04,1259.6,5938.5
2003-05,1266.6,5938.2
2003-06,1284.7,5992.4
2003-07,1287.9,6035.3
2003-08,1292.2,6091.8
2003-09,1286.2,6063.9
2003-10,1288.8,6048.3
2003-11,1293.9,6077.0
2003-12,1332.5,6098.6
2004-01,1301.8,6058.9
2004-02,1306.7,6089.0
2004-03,1337.9,6168.5
2004-04,1343.2,6235.9
2004-05,1333.4,6249.6
2004-06,1347.7,6272.8
2004-07,1338.8,6279.1
2004-08,1352.6,6300.9
2004-09,1349.1,6334.0
2004-10,1351.4,6355.6
2004-11,1371.0,6405.1
2004-12,1401.5,6447.4
2005-01,1361.5,6404.1
2005-02,1355.0,6405.7
2005-03,1381.7,6464.9
2005-04,1369.4,6508.3
2005-05,1369.5,6459.8
2005-06,1384.3,6511.8
2005-07,1365.4,6530.7
2005-08,1376.9,6555.0
2005-09,1363.5,6587.7
2005-10,1365.4,6615.0
2005-11,1373.6,6655.7
2005-12,1397.2,6708.9
2006-01,1375.5,6707.1
2006-02,1362.0,6724.2
2006-03,1394.7,6796.7
2006-04,1393.6,6860.1
2006-05,1392.1,6798.4
2006-06,1379.0,6852.1
2006-07,1368.6,6873.6
2006-08,1370.6,6892.3
2006-09,1347.4,6919.7
2006-10,1360.3,6962.5
2006-11,1368.5,7024.9
2006-12,1387.7,7100.1
2007-01,1369.0,7098.2
2007-02,1347.5,7109.7
2007-03,1378.4,7207.6
2007-04,1392.3,7296.5
2007-05,1385.6,7241.0
2007-06,1370.8,7285.1
2007-07,1368.6,7287.9
2007-08,1372.8,7347.2
2007-09,1356.3,7367.6
2007-10,1369.4,7378.6
2007-11,1370.5,7436.8
2007-12,1394.9,7504.2
2008-01,1375.9,7502.6
2008-02,1365.9,7585.2
2008-03,1401.1,7719.2
2008-04,1406.6,7767.6
2008-05,1396.5,7709.1
2008-06,1407.3,7731.7
2008-07,1417.7,7745.0
2008-08,1401.3,7742.7
2008-09,1441.5,7815.6
2008-10,1462.6,7922.1
2008-11,1513.7,8012.5
2008-12,1632.3,8231.5
2009-01,1580.7,8276.4
2009-02,1552.0,8305.2
2009-03,1594.9,8441.1
2009-04,1627.7,8441.5
2009-05,1617.9,8428.6
2009-06,1661.7,8441.3
2009-07,1657.6,8407.6
2009-08,1651.3,8386.7
2009-09,1641.0,8394.9
2009-10,1664.3,8426.4
2009-11,1683.1,8501.2
2009-12,1724.4,8543.7
2010-01,1674.2,8464.4
2010-02,1685.2,8508.4
2010-03,1729.5,8576.6
2010-04,1716.0,8601.8
2010-05,1708.2,8584.2
2010-06,1732.3,8606.4
2010-07,1718.4,8576.9
2010-08,1739.6,8607.7
2010-09,1741.4,8649.5
2010-10,1767.4,8710.4
2010-11,1828.7,8775.5
2010-12,1871.4,8857.6
2011-01,1855.6,8850.0
2011-02,1858.7,8887.1
2011-03,1909.4,9000.6
2011-04,1918.0,9055.6
2011-05,1934.2,9025.6
2011-06,1954.1,9113.9
2011-07,1994.5,9266.6
2011-08,2101.9,9461.8
2011-09,2099.1,9500.3
2011-10,2128.1,9550.1
2011-11,2164.4,9633.1
2011-12,2208.1,9729.2
2012-01,2209.2,9761.9
2012-02,2194.5,9787.0
2012-03,2246.0,9903.1
2012-04,2268.6,9948.9
2012-05,2248.4,9882.9
2012-06,2271.0,9960.8
2012-07,2314.6,10005.9
2012-08,2334.6,10069.0
2012-09,2358.0,10165.2
2012-10,2416.2,10245.8
2012-11,2415.2,10343.0
2012-12,2509.7,10531.4
2013-01,2481.3,10506.6
2013-02,2455.7,10480.0
2013-03,2497.2,10626.9
2013-04,2542.3,10655.8
2013-05,2518.5,10578.7
2013-06,2523.5,10643.3
2013-07,2543.7,10682.3
2013-08,2537.4,10738.0
2013-09,2555.8,10805.9
2013-10,2618.4,10933.0
2013-11,2607.2,10977.2
2013-12,2715.7,11104.3
2014-01,2701.7,11101.6
2014-02,2706.2,11153.4
2014-03,2773.3,11278.4
2014-04,2809.6,11331.6
2014-05,2782.2,11274.8
2014-06,2824.8,11336.8
2014-07,2841.2,11391.8
2014-08,2790.2,11422.7
2014-09,2834.6,11470.6
2014-10,2865.0,11538.6
2014-11,2861.1,11615.0
2014-12,2992.0,11760.0
2015-01,2941.1,11759.0
2015-02,2979.6,11847.1
2015-03,3023.9,11956.7
2015-04,3035.4,12004.7
2015-05,2975.9,11907.9
2015-06,3020.7,11962.5
2015-07,3038.4,12012.9
2015-08,3022.3,12070.4
2015-09,3016.3,12138.2
2015-10,3011.9,12171.5
2015-11,3056.2,12297.9
2015-12,3141.1,12427.3
2016-01,3094.0,12478.4
2016-02,3096.6,12517.1
2016-03,3179.8,12684.8
2016-04,3234.5,12778.6
2016-05,3234.8,12708.4
2016-06,3247.0,12789.0
2016-07,3244.7,12850.1
2016-08,3319.0,12946.7
2016-09,3296.4,13016.2
2016-10,3327.7,13079.4
2016-11,3328.5,13191.8
2016-12,3384.0,13299.9
2017-01,3388.6,13281.6
2017-02,3358.0,13305.6
2017-03,3477.3,13491.7
2017-04,3489.1,13565.0
2017-05,3517.1,13474.1
2017-06,3527.7,13522.1
2017-07,3548.2,13584.4
2017-08,3588.6,13653.7
2017-09,3542.2,13705.5
2017-10,3601.6,13750.7
2017-11,3603.3,13819.9
2017-12,3652.7,13945.0
2018-01,3651.9,13863.1
2018-02,3566.1,13849.1
2018-03,3688.4,14031.0
2018-04,3698.1,14069.5
2018-05,3655.7,13980.4
2018-06,3656.6,14074.7
2018-07,3680.7,14109.6
2018-08,3690.9,14164.9
2018-09,3675.7,14199.5
2018-10,3722.2,14201.4
2018-11,3680.0,14255.1
2018-12,3800.7,14448.8
2019-01,3748.5,14423.8
2019-02,3705.1,14401.9
2019-03,3757.3,14572.5
2019-04,3823.8,14623.0
2019-05,3791.3,14575.0
2019-06,3831.3,14734.8
2019-07,3863.5,14814.4
2019-08,3850.7,14896.1
2019-09,3878.0,14986.8
2019-10,3924.9,15112.2
2019-11,3926.1,15259.4
2019-12,4043.3,15412.5
2020-01,3983.5,15397.1
2020-02,3941.4,15382.3
2020-03,4285.7,16051.5
2020-04,4847.1,17097.7
2020-05,16166.3,17762.5
2020-06,16539.9,18099.1
2020-07,16741.8,18248.1
2020-08,16865.1,18315.1
2020-09,17132.5,18538.7
2020-10,17317.2,18684.8
2020-11,17637.2,18975.4
2020-12,17943.7,19242.2
2021-01,18080.2,19366.9
2021-02,18258.3,19518.8
2021-03,18715.6,19940.5
2021-04,19079.3,20263.6
2021-05,19161.8,20311.4
2021-06,19301.5,20431.6
2021-07,19444.0,20556.2
2021-08,19655.0,20749.0
2021-09,19838.7,20922.0
2021-10,20011.4,21088.3
2021-11,20256.7,21323.7
2021-12,20578.9,21647.9
2022-01,20541.1,21628.4
2022-02,20520.4,21582.3
2022-03,20802.1,21855.9
2022-04,20821.2,21849.0
2022-05,20543.2,21552.3
2022-06,20541.4,21578.6
2022-07,20482.8,21577.8
2022-08,20394.1,21551.5
2022-09,20246.5,21473.4
2022-10,20059.0,21380.1
2022-11,19969.2,21378.7
2022-12,19889.6,21400.0