"Series Description","M1; Not seasonally adjusted","Currency; Not seasonally adjusted","Demand deposits; Not seasonally adjusted","Other liquid deposits - Total; Not seasonally adjusted","Other checkable deposits - Total; Not seasonally adjusted;  *Discontinued after Apr 2020","Other checkable deposits at commercial banks; Not seasonally adjusted;  *Discontinued after Apr 2020","Other checkable deposits at thrift institutions; Not seasonally adjusted;  *Discontinued after Apr 2020","Travelers checks; Not seasonally adjusted;  *Discontinued after Dec 2018"
"Unit:","Currency","Currency","Currency","Currency","Currency","Currency","Currency","Currency"
"Multiplier:","1e+09","1e+09","1e+09","1e+09","1e+09","1e+09","1e+09","1e+09"
"Currency:","USD","USD","USD","USD","USD","USD","USD","USD"
"Unique Identifier: ","H6/H6_M1/M1_N.M","H6/H6_M1/MCU_N.M","H6/H6_M1/MDD_N.M","H6/H6_M1/MDL_N.M","H6/H6_M1/MDO_N.M","H6/H6_M1/MDOB_N.M","H6/H6_M1/MDOT_N.M","H6/H6_M1/MTC_N.M"
"Time Period","M1_N.M","MCU_N.M","MDD_N.M","MDL_N.M","MDO_N.M","MDOB_N.M","MDOT_N.M","MTC_N.M"
2002-01,1191.8,585.0,336.7,,262.1,148.5,113.6,8.0
2002-02,1178.3,591.1,324.1,,255.1,141.8,113.3,8.0
2002-03,1196.8,596.1,330.8,,262.1,144.1,118.0,7.9
2002-04,1196.9,599.7,319.1,,270.3,149.3,121.0,7.9
2002-05,1186.0,605.3,309.5,,263.4,144.9,118.5,7.9
2002-06,1194.7,610.6,311.4,,264.7,144.2,120.5,8.0
2002-07,1200.4,615.6,311.8,,264.8,145.8,119.0,8.2
2002-08,1182.3,616.6,294.1,,263.5,145.8,117.7,8.1
2002-09,1185.8,616.3,295.6,,266.0,147.4,118.7,7.8
2002-10,1196.6,618.1,300.7,,270.1,150.2,119.8,7.7
2002-11,1205.3,622.9,302.3,,272.5,149.5,123.1,7.6
2002-12,1245.5,630.2,323.8,,283.8,158.4,125.4,7.7
2003-01,1225.5,628.5,306.9,,282.3,159.8,122.5,7.7
2003-02,1225.5,635.0,304.6,,278.2,154.7,123.5,7.7
2003-03,1245.1,639.8,310.7,,287.0,158.8,128.2,7.7
2003-04,1259.6,643.2,315.6,,293.3,160.5,132.7,7.5
2003-05,1266.6,646.4,324.2,,288.5,157.5,131.0,7.5
2003-06,1284.7,647.6,335.1,,294.3,161.8,132.4,7.7
2003-07,1287.9,648.5,335.0,,296.6,162.7,133.8,7.8
2003-08,1292.2,650.2,335.7,,298.5,163.1,135.4,7.8
2003-09,1286.2,650.5,325.7,,302.3,166.8,135.6,7.7
2003-10,1288.8,655.4,324.5,,301.3,167.1,134.3,7.6
2003-11,1293.9,659.9,325.1,,301.4,166.6,134.7,7.6
2003-12,1332.5,666.7,343.0,,315.2,179.9,135.3,7.6
2004-01,1301.8,662.3,316.3,,315.4,183.4,132.1,7.7
2004-02,1306.7,665.6,320.7,,312.5,180.0,132.6,7.8
2004-03,1337.9,667.3,337.6,,325.3,186.9,138.4,7.8
2004-04,1343.2,670.0,335.2,,330.2,187.7,142.6,7.7
2004-05,1333.4,673.7,330.4,,321.7,180.8,140.9,7.7
2004-06,1347.7,678.0,333.8,,328.1,186.5,141.6,7.8
2004-07,1338.8,685.7,320.9,,324.3,182.8,141.6,7.8
2004-08,1352.6,686.0,332.5,,326.3,185.5,140.8,7.7
2004-09,1349.1,687.9,333.3,,320.3,183.1,137.2,7.6
2004-10,1351.4,691.7,330.8,,321.3,183.7,137.6,7.5
2004-11,1371.0,697.4,341.0,,325.1,185.4,139.7,7.5
2004-12,1401.5,702.4,359.1,,332.5,191.7,140.8,7.5
2005-01,1361.5,697.3,331.2,,325.6,190.0,135.6,7.5
2005-02,1355.0,700.7,331.2,,315.6,181.1,134.6,7.5
2005-03,1381.7,702.7,345.4,,326.2,186.6,139.6,7.4
2005-04,1369.4,704.0,326.3,,331.7,188.6,143.1,7.4
2005-05,1369.5,705.2,332.3,,324.5,184.6,139.9,7.4
2005-06,1384.3,708.5,346.8,,321.6,183.2,138.4,7.4
2005-07,1365.4,711.4,330.5,,315.9,178.4,137.5,7.5
2005-08,1376.9,712.2,337.9,,319.2,181.7,137.5,7.5
2005-09,1363.5,714.3,326.9,,314.9,178.2,136.7,7.4
2005-10,1365.4,715.9,328.3,,314.1,176.7,137.3,7.2
2005-11,1373.6,720.6,329.4,,316.5,178.1,138.4,7.1
2005-12,1397.2,729.2,338.3,,322.5,185.0,137.5,7.2
2006-01,1375.5,727.5,319.7,,321.1,186.6,134.5,7.2
2006-02,1362.0,733.8,311.2,,310.0,176.6,133.4,7.0
2006-03,1394.7,737.0,328.5,,322.3,184.0,138.4,6.9
2006-04,1393.6,738.8,321.1,,326.9,185.1,141.8,6.8
2006-05,1392.1,742.0,325.9,,317.3,181.0,136.2,6.9
2006-06,1379.0,741.3,318.8,,311.9,177.9,134.0,7.0
2006-07,1368.6,741.3,314.1,,306.2,172.7,133.5,7.0
2006-08,1370.6,740.6,317.5,,305.6,173.2,132.3,7.0
2006-09,1347.4,739.7,300.4,,300.4,171.0,129.4,6.8
2006-10,1360.3,740.8,311.6,,301.1,174.8,126.4,6.7
2006-11,1368.5,746.2,314.7,,300.9,174.6,126.4,6.7
2006-12,1387.7,754.8,317.6,,308.6,180.6,128.0,6.7
2007-01,1369.0,748.6,302.9,,310.8,184.6,126.2,6.7
2007-02,1347.5,750.9,292.4,,297.6,173.3,124.3,6.6
2007-03,1378.4,753.1,305.4,,313.4,181.2,132.3,6.5
2007-04,1392.3,754.3,308.9,,322.7,185.4,137.3,6.5
2007-05,1385.6,756.2,309.6,,313.2,180.2,133.1,6.5
2007-06,1370.8,756.6,306.4,,301.2,168.7,132.4,6.6
2007-07,1368.6,758.4,306.2,,297.4,164.8,132.6,6.6
2007-08,1372.8,757.4,310.0,,298.7,166.2,132.5,6.6
2007-09,1356.3,756.8,296.2,,296.8,164.0,132.8,6.5
2007-10,1369.4,759.7,305.2,,298.1,168.2,129.9,6.4
2007-11,1370.5,762.4,307.1,,294.7,166.6,128.1,6.3
2007-12,1394.9,764.0,315.4,,309.2,176.3,132.8,6.3
2008-01,1375.9,755.7,303.7,,310.3,179.6,130.8,6.2
2008-02,1365.9,758.9,297.8,,303.1,173.1,130.0,6.1
2008-03,1401.1,762.0,318.0,,314.9,179.2,135.8,6.1
2008-04,1406.6,759.8,317.5,,323.1,183.6,139.5,6.1
2008-05,1396.5,764.1,313.0,,313.3,175.2,138.1,6.1
2008-06,1407.3,768.9,316.9,,315.3,176.5,138.8,6.1
2008-07,1417.7,774.9,324.4,,312.3,171.9,140.4,6.1
2008-08,1401.3,775.5,316.0,,303.9,166.1,137.8,6.0
2008-09,1441.5,776.8,351.4,,307.4,169.4,138.1,5.8
2008-10,1462.6,793.6,359.3,,303.9,170.6,133.3,5.7
2008-11,1513.7,806.3,403.7,,298.1,166.1,132.1,5.6
2008-12,1632.3,818.9,493.0,,314.9,181.9,133.0,5.5
2009-01,1580.7,826.1,436.3,,312.8,180.9,131.9,5.5
2009-02,1552.0,839.0,393.2,,314.4,178.4,136.0,5.5
2009-03,1594.9,846.7,413.6,,329.2,186.0,143.2,5.4
2009-04,1627.7,849.5,427.2,,345.7,199.5,146.2,5.3
2009-05,1617.9,851.3,424.1,,337.2,195.3,141.9,5.2
2009-06,1661.7,852.8,449.0,,354.7,211.1,143.6,5.2
2009-07,1657.6,855.0,444.4,,353.0,209.0,144.0,5.2
2009-08,1651.3,855.9,434.9,,355.3,212.2,143.1,5.2
2009-09,1641.0,857.2,422.3,,356.4,212.8,143.6,5.1
2009-10,1664.3,859.7,432.9,,366.5,220.1,146.4,5.1
2009-11,1683.1,861.3,443.5,,373.2,228.9,144.3,5.1
2009-12,1724.4,865.8,469.4,,384.1,235.6,148.5,5.1
2010-01,1674.2,860.6,436.0,,372.5,226.0,146.5,5.1
2010-02,1685.2,869.8,438.4,,371.9,223.4,148.5,5.0
2010-03,1729.5,875.7,458.8,,390.0,236.3,153.7,5.0
2010-04,1716.0,879.4,453.4,,378.3,222.3,156.0,4.9
2010-05,1708.2,882.5,450.5,,370.2,215.8,154.5,4.9
2010-06,1732.3,884.0,465.1,,378.5,223.2,155.3,4.8
2010-07,1718.4,887.4,456.6,,369.6,216.0,153.6,4.8
2010-08,1739.6,890.4,471.4,,373.1,219.0,154.1,4.8
2010-09,1741.4,895.1,467.0,,374.5,220.3,154.2,4.7
2010-10,1767.4,904.8,479.5,,378.3,222.1,156.3,4.7
2010-11,1828.7,913.9,516.4,,393.7,235.2,158.5,4.7
2010-12,1871.4,920.7,543.7,,402.3,239.8,162.5,4.7
2011-01,1855.6,917.8,533.9,,399.1,238.7,160.5,4.7
2011-02,1858.7,931.4,529.8,,392.8,230.0,162.8,4.6
2011-03,1909.4,942.8,554.5,,407.5,238.1,169.4,4.6
2011-04,1918.0,952.5,554.5,,406.4,235.8,170.6,4.6
2011-05,1934.2,960.1,570.8,,398.8,231.2,167.6,4.5
2011-06,1954.1,964.6,584.4,,400.6,233.2,167.4,4.5
2011-07,1994.5,970.0,626.2,,393.8,227.2,166.6,4.5
2011-08,2101.9,973.5,720.4,,403.5,232.8,170.6,4.5
2011-09,2099.1,978.2,717.9,,398.6,228.0,170.6,4.4
2011-10,2128.1,983.0,742.5,,398.3,227.1,171.2,4.4
2011-11,2164.4,993.6,761.6,,404.9,232.0,172.9,4.3
2011-12,2208.1,1003.5,789.0,,411.5,237.3,174.2,4.3
2012-01,2209.2,1003.5,787.4,,414.1,240.6,173.5,4.2
2012-02,2194.5,1020.5,759.5,,410.3,232.8,177.6,4.2
2012-03,2246.0,1033.9,783.1,,424.9,240.8,184.0,4.1
2012-04,2268.6,1039.3,794.4,,430.8,244.2,186.6,4.1
2012-05,2248.4,1043.6,780.6,,420.2,236.7,183.5,4.0
2012-06,2271.0,1048.1,802.1,,416.9,232.8,184.1,4.0
2012-07,2314.6,1051.6,840.1,,419.0,234.5,184.5,4.0
2012-08,2334.6,1056.4,853.2,,421.1,235.4,185.7,3.9
2012-09,2358.0,1064.1,871.4,,418.5,231.7,186.7,3.9
2012-10,2416.2,1073.4,913.9,,425.0,237.3,187.7,3.9
2012-11,2415.2,1081.8,907.2,,422.4,233.8,188.6,3.8
2012-12,2509.7,1092.3,969.8,,443.8,249.2,194.6,3.8
2013-01,2481.3,1090.1,936.0,,451.4,257.6,193.9,3.8
2013-02,2455.7,1100.5,910.0,,441.4,244.8,196.6,3.8
2013-03,2497.2,1110.3,929.4,,453.7,249.2,204.5,3.8
2013-04,2542.3,1114.7,958.0,,465.9,259.1,206.8,3.7
2013-05,2518.5,1121.2,942.3,,451.3,249.4,202.0,3.7
2013-06,2523.5,1125.0,945.9,,448.9,246.0,202.9,3.6
2013-07,2543.7,1130.3,955.6,,454.2,248.6,205.6,3.6
2013-08,2537.4,1134.7,948.5,,450.6,245.9,204.6,3.6
2013-09,2555.8,1140.3,958.0,,453.8,248.2,205.6,3.6
2013-10,2618.4,1147.6,1012.0,,455.2,249.2,206.0,3.6
2013-11,2607.2,1152.8,997.8,,453.0,246.8,206.1,3.5
2013-12,2715.7,1162.0,1079.0,,471.2,261.7,209.5,3.5
2014-01,2701.7,1158.8,1064.4,,475.1,266.0,209.1,3.5
2014-02,2706.2,1172.2,1061.0,,469.6,256.1,213.5,3.4
2014-03,2773.3,1195.7,1090.3,,483.9,265.1,218.8,3.4
2014-04,2809.6,1204.6,1112.0,,489.8,269.1,220.7,3.3
2014-05,2782.2,1210.3,1094.0,,474.6,259.2,215.5,3.3
2014-06,2824.8,1213.4,1127.4,,480.7,263.4,217.3,3.2
2014-07,2841.2,1217.8,1142.0,,478.2,261.1,217.1,3.2
2014-08,2790.2,1221.2,1093.3,,472.4,259.3,213.2,3.2
2014-09,2834.6,1222.8,1142.0,,466.6,253.8,212.8,3.1
2014-10,2865.0,1228.1,1166.0,,467.8,253.5,214.3,3.1
2014-11,2861.1,1239.2,1153.4,,465.6,251.0,214.5,3.0
2014-12,2992.0,1254.3,1245.2,,489.5,270.7,218.8,2.9
2015-01,2941.1,1259.6,1188.5,,490.1,271.5,218.6,2.9
2015-02,2979.6,1272.9,1209.0,,494.9,267.3,227.6,2.9
2015-03,3023.9,1285.3,1224.9,,510.9,277.7,233.2,2.8
2015-04,3035.4,1290.8,1227.1,,514.7,279.3,235.5,2.8
2015-05,2975.9,1295.2,1179.8,,498.1,268.0,230.1,2.7
2015-06,3020.7,1296.0,1216.7,,505.3,273.8,231.4,2.7
2015-07,3038.4,1301.1,1232.3,,502.3,271.9,230.3,2.7
2015-08,3022.3,1306.2,1215.5,,498.0,267.9,230.0,2.6
2015-09,3016.3,1313.8,1200.5,,499.3,269.0,230.3,2.6
2015-10,3011.9,1321.6,1189.3,,498.5,268.2,230.3,2.6
2015-11,3056.2,1330.7,1224.3,,498.7,267.4,231.3,2.5
2015-12,3141.1,1340.4,1278.9,,519.2,281.7,237.5,2.5
2016-01,3094.0,1339.4,1237.6,,514.6,280.8,233.7,2.5
2016-02,3096.6,1351.1,1228.5,,514.5,276.9,237.5,2.4
2016-03,3179.8,1365.7,1281.6,,530.0,283.0,247.0,2.4
2016-04,3234.5,1373.4,1327.3,,531.4,284.0,247.4,2.4
2016-05,3234.8,1380.4,1329.1,,523.0,278.7,244.3,2.3
2016-06,3247.0,1383.7,1333.4,,527.6,280.6,247.0,2.3
2016-07,3244.7,1389.2,1331.0,,522.3,276.0,246.3,2.3
2016-08,3319.0,1391.9,1390.2,,534.6,283.9,250.8,2.3
2016-09,3296.4,1396.7,1364.7,,532.7,280.9,251.8,2.2
2016-10,3327.7,1403.3,1387.1,,535.0,281.3,253.7,2.2
2016-11,3328.5,1412.6,1376.4,,537.3,280.8,256.5,2.2
2016-12,3384.0,1422.4,1408.9,,550.7,293.2,257.5,2.2
2017-01,3388.6,1423.2,1401.6,,561.6,297.2,264.5,2.1
2017-02,3358.0,1433.4,1369.5,,552.9,285.6,267.3,2.1
2017-03,3477.3,1453.1,1443.6,,578.6,298.4,280.2,2.1
2017-04,3489.1,1465.1,1445.4,,576.6,294.2,282.4,2.1
2017-05,3517.1,1473.9,1464.2,,576.9,299.3,277.7,2.1
2017-06,3527.7,1479.9,1476.0,,569.8,293.2,276.7,2.0
2017-07,3548.2,1485.7,1495.0,,565.5,288.6,277.0,2.0
2017-08,3588.6,1490.7,1520.8,,575.1,296.9,278.2,2.0
2017-09,3542.2,1499.7,1471.0,,569.6,292.9,276.7,2.0
2017-10,3601.6,1507.6,1515.9,,576.2,299.4,276.8,1.9
2017-11,3603.3,1514.8,1502.1,,584.5,299.5,285.0,1.9
2017-12,3652.7,1527.4,1526.7,,596.7,310.9,285.8,1.9
2018-01,3651.9,1528.7,1512.7,,608.6,323.8,284.7,1.9
2018-02,3566.1,1538.2,1433.4,,592.6,308.3,284.4,1.9
2018-03,3688.4,1555.3,1513.4,,617.9,319.4,298.5,1.9
2018-04,3698.1,1564.9,1504.8,,626.6,326.1,300.5,1.8
2018-05,3655.7,1575.9,1465.8,,612.3,319.6,292.7,1.8
2018-06,3656.6,1584.5,1461.0,,609.3,315.3,293.9,1.8
2018-07,3680.7,1590.1,1480.1,,608.7,315.8,292.9,1.8
2018-08,3690.9,1596.2,1475.8,,617.2,321.6,295.6,1.8
2018-09,3675.7,1606.9,1455.4,,611.7,318.0,293.7,1.7
2018-10,3722.2,1612.4,1482.0,,626.2,331.0,295.2,1.7
2018-11,3680.0,1618.5,1442.1,,617.8,322.8,294.9,1.7
2018-12,3800.7,1626.7,1538.0,,634.2,337.9,296.3,1.7
2019-01,3748.5,1623.6,1484.5,,640.4,356.7,283.7,
2019-02,3705.1,1628.5,1456.3,,620.3,336.5,283.7,
2019-03,3757.3,1641.6,1466.0,,649.8,348.9,300.8,
2019-04,3823.8,1649.3,1501.5,,672.9,365.8,307.1,
2019-05,3791.3,1655.6,1481.4,,654.4,354.2,300.2,
2019-06,3831.3,1660.0,1522.6,,648.7,349.1,299.6,
2019-07,3863.5,1666.2,1543.2,,654.1,355.0,299.0,
2019-08,3850.7,1671.5,1523.2,,656.0,352.8,303.2,
2019-09,3878.0,1683.8,1535.1,,659.0,357.0,302.0,
2019-10,3924.9,1692.3,1570.3,,662.3,358.1,304.2,
2019-11,3926.1,1704.3,1566.8,,655.0,350.9,304.2,
2019-12,4043.3,1713.1,1648.8,,681.3,372.4,308.9,
2020-01,3983.5,1714.0,1586.8,,682.7,378.6,304.1,
2020-02,3941.4,1718.2,1558.7,,664.6,360.3,304.3,
2020-03,4285.7,1747.4,1824.1,,714.2,382.5,331.7,
2020-04,4847.1,1784.3,2047.6,,1015.2,378.6,636.7,
2020-05,16166.3,1824.3,2128.9,12213.0,,,,
2020-06,16539.9,1857.1,2220.4,12462.4,,,,
2020-07,16741.8,1884.2,2265.1,12592.5,,,,
2020-08,16865.1,1908.8,2279.1,12677.1,,,,
2020-09,17132.5,1929.2,2392.4,12810.9,,,,
2020-10,17317.2,1944.1,2432.5,12940.7,,,,
2020-11,17637.2,1957.9,2757.2,12922.1,,,,
2020-12,17943.7,1973.8,3359.4,12610.5,,,,
2021-01,18080.2,1988.4,3371.9,12719.9,,,,
2021-02,18258.3,1999.4,3533.8,12725.2,,,,
2021-03,18715.6,2020.0,3770.5,12925.1,,,,
2021-04,19079.3,2053.6,3846.3,13179.4,,,,
2021-05,19161.8,2068.7,4016.6,13076.4,,,,
2021-06,19301.5,2080.8,4256.0,12964.7,,,,
2021-07,19444.0,2087.2,4375.4,12981.4,,,,
2021-08,19655.0,2091.4,4437.2,13126.4,,,,
2021-09,19838.7,2099.0,4444.8,13294.9,,,,
2021-10,20011.4,2106.7,4554.5,13350.3,,,,
2021-11,20256.7,2116.9,4603.9,13536.0,,,,
2021-12,20578.9,2129.7,4761.0,13688.1,,,,
2022-01,20541.1,2134.0,4749.4,13657.7,,,,
2022-02,20520.4,2142.1,4684.0,13694.3,,,,
2022-03,20802.1,2165.1,4812.9,13824.1,,,,
2022-04,20821.2,2175.4,4880.9,13764.8,,,,
2022-05,20543.2,2180.8,4932.6,13429.9,,,,
2022-06,20541.4,2183.9,4943.6,13413.9,,,,
2022-07,20482.8,2185.4,4955.1,13342.4,,,,
2022-08,20394.1,2186.5,5170.8,13036.8,,,,
2022-09,20246.5,2188.6,5099.2,12958.7,,,,
2022-10,20059.0,2194.0,5074.5,12790.6,,,,
2022-11,19969.2,2200.2,5077.3,12691.7,,,,
2022-12,19889.6,2208.3,5127.4,12553.9,,,,